,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
0,Queens Road,167500,House,2716,5,5,5,Wimbledon,London,SW19 8NY
1,Seward Street,65000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA
2,Hotham Road,73500,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL
3,Festing Road,176500,House,1986,4,4,4,Putney,London,SW15 1LP
4,Spencer Walk,67500,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL
5,Craven Hill Gardens,42000,Flat / Apartment,403,1,1,1,,London,W2 3EA
6,Alfriston Road,147500,House,1548,4,4,4,,London,SW11 6NW
7,Bishops Gate,65000,New development,560,1,1,1, Fulham,London,SW6 3LF
8,Adam & Eve Mews,250000,House,1308,3,3,3,,London,W8 6UG
9,Hornton Street,92500,Flat / Apartment,646,2,2,2,,London,W8 4NT
10,Drakefield Road,240000,House,3392,6,6,6,,London,SW17 8RR
11,Cromwell Avenue,250000,House,2974,6,6,6,Highgate,London,N6 5HQ
12,Ashley Park Avenue,279500,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER
13,Grove End House,72500,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP
14,Abercorn Mansions,75000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY
15,Chester Terrace,1250000,House,4596,6,6,6,Regents Park,London,NW1 4ND
16,Cambridge Park,145000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF
17,Hazelwood Lane,125000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW
18,Elsworthy Rise,227500,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS
19,St. Anns Road,107500,Duplex,865,2,2,2,,Holland Park,W11 4SR
20,Clapham Road,50000,Flat / Apartment,597,1,1,1,,London,SW9 9BT
21,Devonshire Close,550000,House,3016,4,4,4,Marylebone,London,W1G 7BA
22,The Draycott,895000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA
23,Campden Hill Gardens,117500,Flat / Apartment,765,2,2,2,,London,W8 7AX
24,College Cross,55000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
25,St Mary's Grove,130000,House,1101,3,3,3, Islington,London,N1 2NT
26,Goldhurst Terrace,80000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR
27,Upper Park Road,350000,House,2331,4,4,4,Belsize Park,London,NW3 2UP
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN
29,Roymount Court,40000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW
30,Wetherby House,110000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP
31,Fernside Road,120000,House,1494,4,4,4,,London,SW12 8LJ
32,Telford Avenue,125000,House,1507,4,4,4,,London,SW2 4XF
33,Telford Avenue,69500,Flat / Apartment,945,3,3,3,,London,SW2 4XQ
34,Stile Hall Gardens,173500,House,2118,4,4,4,Chiswick,London,W4 3BS
35,Wavendon Avenue,235000,House,2297,5,5,5,Chiswick,London,W4 4NR
36,Duke Road,120000,House,1351,4,4,4,Chiswick,London,W4 2BA
37,Hobury Street,97500,Flat / Apartment,749,2,2,2,,London,SW10 0JB
38,Maltings Close,85000,House,1177,3,3,3,Barnes,London,SW13 0NL
39,Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF
40,Khyber Road,92500,Flat / Apartment,1321,2,2,2,,London,SW11 2PZ
41,Coles Court,65000,Flat / Apartment,869,3,3,3,,Battersea,SW11 3DU
42,Prince Of Wales Mansions,55000,Flat / Apartment,670,1,1,1,,London,SW11 4BG
43,Old Battersea House,997500,House,10100,10,10,10, Battersea,London,SW11 3LD
44,Kersley Street,185000,House,1910,5,5,5,,London,SW11 4PT
45,Battersea Bridge Road,52500,New development,590,1,1,1,,London,SW11 3AU
46,Larkhall Rise,220000,House,2239,4,4,4,,London,SW4 6HS
47,Ashley Park Avenue,345000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU
48,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ
49,Park Close,72500,House,884,3,3,3,South Hackney,London,E9 7LF
50,Century Court,175000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD
51,Eaton Square,525000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF
52,Hornsey Town Hall,125000,New development,1307,3,3,3,Crouch End,London,N8 9JJ
53,"The oTTo, Hackney",49000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS
54,Francis House,335000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP
55,Wendle Square,10000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS
56,Rectory Road,235000,House,2511,4,4,4,Barnes,London,SW13 0DX
57,Thames Quay,209500,Flat / Apartment,1528,3,3,3,Chelsea Harbour,London,SW10 0UY
