location,no_of_crimes_per_year
Acton,27264
Balham,28092
Barnes,13728
Barnet,31452
Barnsbury,31164
Barts Square,24000
Battersea,28092
Bayswater,23748
Belgravia,23748
Bethnal Green,32976
Blackheath,28872
Bloomsbury,38568
Bow,32976
Brentford,27216
Brixton,34956
Camden,38568
Canary Wharf,32976
Canning Town,36132
Canonbury,31164
Chelsea,23748
Chingford,24888
Chiswick,27216
City Of London,24000
Clapham,34956
Clapton,33036
Clerkenwell,38568
Covent Garden,76860
Dulwich,28872
Ealing,32364
Earls Court,23748
East Finchley,31452
East Sheen,13728
Edgware,31452
Farringdon,24000
Finsbury,24000
Finsbury Park,33036
Fitzrovia,38568
Fulham,22068
Greenwich,28476
Hackney,33036
Hammersmith,22068
Hampstead,31164
Hanwell,32364
Haringey,29436
Highbury,31164
Highgate,29436
Holborn,38568
Holloway,31164
Islington,31164
Kensington,23748
Kentish Town,31164
Kidbrooke,28476
Knightsbridge,23748
Lambeth,34956
Lewisham,28872
Limehouse,32976
Maida Vale,23748
Marylebone,76860
Mayfair,76860
Mortlake,13728
Newham,36132
Norbury,36132
North Kensington,23748
Norwich,22431
Notting Hill,23748
Paddington,76860
Peckham,35496
Pimlico,23748
Putney,28092
Shadwell,32976
Shepherds Bush,22068
Shepherd's Bush,22068
Shoreditch,33036
Smithfield,24000
South Bank,35496
South Hackney,33036
South Kensington,23748
Southwark,35496
St James's,76860
Stepney,32976
Stoke Newington,33036
Stratford,36132
Streatham,34956
Tooting,28092
Victoria,76860
Walworth,35496
Wandsworth,28092
Wapping,32976
West Hampstead,31164
West Kensington,23748
Westminster,76860
Whitechapel,32976
Willesden,30120
Wimbledon,28092
Woolwich,28476
