property_name,price,house_type,area_in_sq_ft,no_of_bedrooms,no_of_bathrooms,no_of_receptions,city,postal_code,location,nearest_station,postcode_latitude,postcode_longitude,station_latitude,station_longitude,price_per_sqft,distance_miles
Queens Road,167500,House,2716,5,5,5,London,SW19 8NY,Wimbledon,Wimbledon,51.4253,-0.191211,51.4215,-0.206403,61.671575846833576,0.71
Seward Street,65000,Flat / Apartment,814,2,2,2,London,EC1V 3PA,Clerkenwell,Old Street,51.5263,-0.09783,51.5256,-0.087609,79.85257985257985,0.44
Hotham Road,73500,Flat / Apartment,761,2,2,2,London,SW15 1QL,Putney,Putney Bridge,51.4774,-0.255094,51.4683,-0.208795,96.58344283837056,2.09
Festing Road,176500,House,1986,4,4,4,London,SW15 1LP,Putney,Putney Bridge,51.4758,-0.256604,51.4683,-0.208795,88.87210473313192,2.12
Spencer Walk,67500,Flat / Apartment,700,2,2,2,London,SW15 1PL,Putney,Putney Bridge,51.4764,-0.256,51.4683,-0.208795,96.42857142857143,2.11
Craven Hill Gardens,42000,Flat / Apartment,403,1,1,1,London,W2 3EA,Bayswater,Paddington,51.5185,-0.1908,51.5155,-0.175365,104.21836228287842,0.7
Alfriston Road,147500,House,1548,4,4,4,London,SW11 6NW,Battersea,Clapham Junction,51.4573,-0.15941,51.4645,-0.170518,95.2842377260982,0.69
Bishops Gate,65000,New development,560,1,1,1,London,SW6 3LF,Fulham,Imperial Wharf,51.4747,-0.2074,51.4751,-0.182927,116.07142857142857,1.05
Adam & Eve Mews,250000,House,1308,3,3,3,London,W8 6UG,Kensington,High Street Kensington,51.4985,-0.1965,51.5003,-0.19211,191.131498470948,0.23
Hornton Street,92500,Flat / Apartment,646,2,2,2,London,W8 4NT,Kensington,High Street Kensington,51.502,-0.1947,51.5003,-0.19211,143.1888544891641,0.16
Drakefield Road,240000,House,3392,6,6,6,London,SW17 8RR,Tooting,Tooting,51.4975,-0.235464,51.4278,-0.167967,70.75471698113208,5.62
Cromwell Avenue,250000,House,2974,6,6,6,London,N6 5HQ,Highgate,Highgate,51.5702,-0.14155,51.5706,-0.14924,84.06186953597847,0.33
Grove End House,72500,Flat / Apartment,778,2,2,2,London,NW8 9HP,Westminster,St. Johns Wood,51.5282,-0.17475,51.5317,-0.17419,93.18766066838046,0.24
Abercorn Mansions,75000,Flat / Apartment,647,2,2,2,London,NW8 9DY,Westminster,St. Johns Wood,51.5325,-0.18081,51.5317,-0.17419,115.91962905718702,0.29
Elsworthy Rise,227500,New development,1173,3,3,3,London,NW3 3DS,Hampstead,Hampstead,51.5415,-0.1638,51.5565,-0.178301,193.9471440750213,1.21
Clapham Road,50000,Flat / Apartment,597,1,1,1,London,SW9 9BT,Brixton,Brixton,51.4678,-0.1068,51.4568,-0.116796,83.75209380234506,0.87
Campden Hill Gardens,117500,Flat / Apartment,765,2,2,2,London,W8 7AX,Kensington,High Street Kensington,51.4985,-0.1886,51.5003,-0.19211,153.59477124183007,0.2
College Cross,55000,Flat / Apartment,479,1,1,1,London,N1 1PT,Islington,Angel,51.5418,-0.10536,51.5325,-0.106036,114.82254697286012,0.64
St Marys Grove,130000,House,1101,3,3,3,London,N1 2NT,Islington,Angel,51.5453,-0.09818,51.5325,-0.106036,118.07447774750227,0.95
Goldhurst Terrace,80000,Flat / Apartment,1177,3,3,3,London,NW6 3HR,West Hampstead,West Hampstead,51.5416,-0.18344,51.5468,-0.189965,67.96941376380629,0.46
Upper Park Road,350000,House,2331,4,4,4,London,NW3 2UP,Hampstead,Hampstead,51.5494,-0.16092,51.5565,-0.178301,150.15015015015015,0.89
Wetherby House,110000,Flat / Apartment,582,2,2,2,London,SW5 0JP,Earls Court,Earls Court,51.4907,-0.1874,51.4916,-0.193903,189.00343642611685,0.29
Fernside Road,120000,House,1494,4,4,4,London,SW12 8LJ,Balham,Balham,51.446,-0.15983,51.4452,-0.1517,80.32128514056225,0.35
Telford Avenue,125000,House,1507,4,4,4,London,SW2 4XF,Brixton,Brixton,51.4589,-0.1175,51.4568,-0.116796,82.94625082946251,0.15
Telford Avenue,69500,Flat / Apartment,945,3,3,3,London,SW2 4XQ,Brixton,Brixton,51.4605,-0.1211,51.4568,-0.116796,73.54497354497354,0.32
Stile Hall Gardens,173500,House,2118,4,4,4,London,W4 3BS,Chiswick,Chiswick Park,51.492,-0.2825,51.4946,-0.267874,81.91690273843248,0.65
Wavendon Avenue,235000,House,2297,5,5,5,London,W4 4NR,Chiswick,Chiswick Park,51.4949,-0.2871,51.4946,-0.267874,102.30735742272529,0.83
Duke Road,120000,House,1351,4,4,4,London,W4 2BA,Chiswick,Chiswick Park,51.4906,-0.2637,51.4946,-0.267874,88.82309400444116,0.33
Hobury Street,97500,Flat / Apartment,749,2,2,2,London,SW10 0JB,Chelsea,West Brompton,51.4834,-0.17952,51.487,-0.195185,130.173564753004,0.72
Maltings Close,85000,House,1177,3,3,3,London,SW13 0NL,Barnes,Barnes Bridge,51.4821,-0.239105,51.472,-0.252633,72.21750212404417,0.91
Khyber Road,92500,Flat / Apartment,1321,2,2,2,London,SW11 2PZ,Battersea,Clapham Junction,51.4693,-0.17006,51.4645,-0.170518,70.02271006813021,0.33
