@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
House,2716,61.671576,0.71
'Flat / Apartment',814,79.85258,0.44
'Flat / Apartment',761,96.583443,2.09
House,1986,88.872105,2.12
'Flat / Apartment',700,96.428571,2.11
'Flat / Apartment',403,104.218362,0.7
House,1548,95.284238,0.69
'New development',560,116.071429,1.05
House,1308,191.131498,0.23
'Flat / Apartment',646,143.188854,0.16
House,3392,70.754717,5.62
House,2974,84.06187,0.33
'Flat / Apartment',778,93.187661,0.24
'Flat / Apartment',647,115.919629,0.29
'New development',1173,193.947144,1.21
'Flat / Apartment',597,83.752094,0.87
'Flat / Apartment',765,153.594771,0.2
'Flat / Apartment',479,114.822547,0.64
House,1101,118.074478,0.95
'Flat / Apartment',1177,67.969414,0.46
House,2331,150.15015,0.89
'Flat / Apartment',582,189.003436,0.29
House,1494,80.321285,0.35
House,1507,82.946251,0.15
'Flat / Apartment',945,73.544974,0.32
House,2118,81.916903,0.65
House,2297,102.307357,0.83
House,1351,88.823094,0.33
'Flat / Apartment',749,130.173565,0.72
House,1177,72.217502,0.91
'Flat / Apartment',1321,70.02271,0.33
'Flat / Apartment',670,82.089552,1.25
House,1910,96.858639,0.64
'New development',590,88.983051,0.95
House,2239,98.258151,0.5
House,884,82.013575,0.14
'Flat / Apartment',1232,142.045455,0.27
'New development',1307,95.638868,0.34
Penthouse,2185,153.318078,0.57
'Flat / Apartment',1228,8.143322,0.82
House,2511,93.588212,0.71
'Flat / Apartment',1528,137.10733,1.02
'Flat / Apartment',811,154.130703,1.38
'Flat / Apartment',969,75.851393,0.32
House,1132,77.29682,5.58
House,2498,50.040032,6.34
'Flat / Apartment',643,92.534992,0.59
House,974,84.188912,1.02
'Flat / Apartment',850,97.647059,1
'Flat / Apartment',458,109.170306,0.38
'Flat / Apartment',448,107.142857,0.32
House,1763,198.525241,0.1
'Flat / Apartment',1208,173.84106,0.07
'New development',1023,63.538612,0.9
House,1890,68.783069,0.37
House,1348,46.364985,0.81
'Flat / Apartment',540,115.740741,0.25
'New development',791,139.064475,0.43
House,1375,96.363636,0.74
'Flat / Apartment',1068,117.041199,0.29
House,1119,205.540661,0.33
House,1811,82.827167,0.24
