@relation 'weka_london_housing_with_stations_crimerate-weka.filters.unsupervised.attribute.Remove-R1-2,5-10,12-15'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute nearest_station {Wimbledon,'Old Street','Putney Bridge',Paddington,'Clapham Junction','Imperial Wharf','High Street Kensington',Tooting,Highgate,'St. Johns Wood',Hampstead,Brixton,Angel,'West Hampstead','Earls Court',Balham,'Chiswick Park','West Brompton','Barnes Bridge','Clapham Common',Homerton,Hornsey,Streatham,'Shepherds Bush',Bromley-by-Bow,'Camden Town','Gospel Oak','Oxford Circus','Ealing Broadway',Charlton,'Chancery Lane',Victoria,'South Kensington','Hackney Downs',Hammersmith,'Maida Vale','Golders Green',Temple,Mortlake,Vauxhall,'Wandsworth Town','Ladbroke Grove',Barbican,'London Bridge','Piccadilly Circus','West Kensington',Canonbury,'Bethnal Green','Woolwich Arsenal','Canary Wharf',Kennington,'Caledonian Road & Barnsbury','Aldgate East','West Ealing','Russell Square','Tower Gateway','Raynes Park','Leicester Square','Bond Street',Cricklewood,'Finsbury Park',Greenwich,'Canada Water','Goodge Street','Charing Cross','Acton Central','Green Park','West Dulwich','Mill Hill East',Farringdon,Hanwell,'Royal Victoria','Latimer Road','Liverpool Street',Moorgate,'Hackney Central',Westminster,'Peckham Rye',Chingford,'East Finchley','Dalston Junction',Blackfriars,Blackheath,'Covent Garden',Lewisham,Stratford,'Kew Bridge',Bank}
@attribute price_per_sqft numeric
@attribute distance_miles numeric
@attribute no_of_crimes_per_year numeric

@data
House,2716,Wimbledon,61.671576,0.71,28092
'Flat / Apartment',814,'Old Street',79.85258,0.44,38568
'Flat / Apartment',761,'Putney Bridge',96.583443,2.09,28092
House,1986,'Putney Bridge',88.872105,2.12,28092
'Flat / Apartment',700,'Putney Bridge',96.428571,2.11,28092
'Flat / Apartment',403,Paddington,104.218362,0.7,23748
House,1548,'Clapham Junction',95.284238,0.69,28092
'New development',560,'Imperial Wharf',116.071429,1.05,22068
House,1308,'High Street Kensington',191.131498,0.23,23748
'Flat / Apartment',646,'High Street Kensington',143.188854,0.16,23748
House,3392,Tooting,70.754717,5.62,28092
House,2974,Highgate,84.06187,0.33,29436
'Flat / Apartment',778,'St. Johns Wood',93.187661,0.24,76860
'Flat / Apartment',647,'St. Johns Wood',115.919629,0.29,76860
'New development',1173,Hampstead,193.947144,1.21,31164
'Flat / Apartment',597,Brixton,83.752094,0.87,34956
'Flat / Apartment',765,'High Street Kensington',153.594771,0.2,23748
'Flat / Apartment',479,Angel,114.822547,0.64,31164
House,1101,Angel,118.074478,0.95,31164
'Flat / Apartment',1177,'West Hampstead',67.969414,0.46,31164
House,2331,Hampstead,150.15015,0.89,31164
'Flat / Apartment',582,'Earls Court',189.003436,0.29,23748
House,1494,Balham,80.321285,0.35,28092
House,1507,Brixton,82.946251,0.15,34956
'Flat / Apartment',945,Brixton,73.544974,0.32,34956
House,2118,'Chiswick Park',81.916903,0.65,27216
House,2297,'Chiswick Park',102.307357,0.83,27216
House,1351,'Chiswick Park',88.823094,0.33,27216
